,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,Error
272,Attack on a China Mission,1900,N/A,28 Nov 1903,4 min,"Short, Action, Crime",James Williamson,James Williamson,"Mr. James, Mr. Lepard, Florence Williamson","The titles tell us this film is based on an incident in the Boxer Rebellion. A man tries to defend a woman and a large house against Chinese attackers. They attack with swords, guns, and paddles. He's over-matched. What will become o",None,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BOTU3ZGRmNjAtOWIzNC00MDI5LTkzZGMtZjZhZWI5ZmI4Zjk4XkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}]",N/A,5.5,560,tt0000273,movie,N/A,N/A,N/A,N/A,True,
273,Avenue de l'opéra,1900,Not Rated,N/A,1 min,"Short, Comedy",Alice Guy,N/A,N/A,"You aren't imaging things. This short, filmed on the aforementioned Avenue de l'Opera in Paris, is backward as intended. As a bit of excessive cleverness, the music (a recent addition) is scored (or, rather, recorded) back-to-front a",None,France,N/A,https://m.media-amazon.com/images/M/MV5BMDhlMTg3MmUtMWM0OC00YjE5LWFiNjQtNDFiZGFlOGQ2OGY5XkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}]",N/A,5.5,223,tt0000274,movie,N/A,N/A,N/A,N/A,True,
274,Badinage,1900,N/A,N/A,N/A,Short,Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,[],N/A,N/A,N/A,tt0000275,movie,N/A,N/A,N/A,N/A,True,
275,Bataille d'oreillers,1900,N/A,N/A,N/A,Short,Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",N/A,6.9,31,tt0000276,movie,N/A,N/A,N/A,N/A,True,
276,Bataille de boules de neige,1900,N/A,N/A,N/A,Short,Alice Guy,N/A,N/A,A snowball fight outside the Louis Lumiere's factory.,None,France,N/A,https://m.media-amazon.com/images/M/MV5BNjAyMzAyMGEtMDFiNy00Njk4LTljZWItZmQyYTcxODY1ZWFmXkEyXkFqcGdeQXVyMDM0MzU2NA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",N/A,6.2,57,tt0000277,movie,N/A,N/A,N/A,N/A,True,
277,Buffalo Bill's Show Parade,1900,N/A,N/A,N/A,Short,N/A,N/A,Buffalo Bill Cody,N/A,None,United States,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}]",N/A,5.6,22,tt0000278,movie,N/A,N/A,N/A,N/A,True,
278,Buffalo Bill's Wild West Parade,1900,N/A,N/A,N/A,"Short, News",N/A,N/A,Buffalo Bill Cody,N/A,None,United States,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '4.3/10'}]",N/A,4.3,22,tt0000279,movie,N/A,N/A,N/A,N/A,True,
279,Buffalo Bill's Wild West Parade,1900,N/A,01 May 1900,N/A,"Short, News",N/A,N/A,Buffalo Bill Cody,N/A,None,United States,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '4.6/10'}]",N/A,4.6,22,tt0000280,movie,N/A,N/A,N/A,N/A,True,
280,Buffalo Bill's Wild West Show,1900,N/A,N/A,N/A,"Short, News",N/A,N/A,Buffalo Bill Cody,N/A,None,United States,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}]",N/A,5.3,22,tt0000281,movie,N/A,N/A,N/A,N/A,True,
281,Le bébé,1900,N/A,N/A,N/A,Short,Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,[],N/A,N/A,N/A,tt0000282,movie,N/A,N/A,N/A,N/A,True,
282,Chez le Maréchal-Ferrant,1900,N/A,N/A,N/A,Short,Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",N/A,5.8,17,tt0000283,movie,N/A,N/A,N/A,N/A,True,
283,Chez le photographe,1900,Not Rated,N/A,1 min,Short,Alice Guy,N/A,N/A,A man turns up to have his photograph taken. He and the photographer have different views concerning the composition of the photo.,None,France,N/A,https://m.media-amazon.com/images/M/MV5BYWI4MDkzNmYtMmNjYy00Yjc0LTgzZDEtYWMxMjI5NjViNjM5XkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}]",N/A,5.3,211,tt0000284,movie,N/A,N/A,N/A,N/A,True,
284,Chinese Magic,1900,N/A,01 Sep 1900,N/A,"Short, Horror",Walter R. Booth,N/A,N/A,A Chinese magician turns himself into a huge bat.,None,United Kingdom,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}]",N/A,5.0,24,tt0000285,movie,N/A,N/A,N/A,N/A,True,
285,Chirurgie fin de siècle,1900,N/A,N/A,2 min,"Comedy, Short",Alice Guy,N/A,N/A,N/A,None,France,N/A,https://m.media-amazon.com/images/M/MV5BMmU0ZWY1MzgtZjQwZS00YzAwLTg1YWMtYzA1YjQ4MjI4NmIwXkEyXkFqcGdeQXVyMDM3NjU0MA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}]",N/A,5.6,217,tt0000286,movie,N/A,N/A,N/A,N/A,True,
286,The Clown and the Alchemist,1900,N/A,01 Nov 1900,N/A,"Comedy, Fantasy, Short","J. Stuart Blackton, Albert E. Smith",N/A,N/A,"Although we are led to believe that the ancient alchemists were all powerful, this picture somewhat reverses the order of things. The clown plays some wonderful pranks on the old professor. He appears in numerous startling positions,",None,United States,N/A,https://m.media-amazon.com/images/M/MV5BZTIwNDBjYjAtZjcxYi00MzI1LTgwMTItZDhjNmE3NGI2MTIwXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.9/10'}]",N/A,4.9,152,tt0000287,movie,N/A,N/A,N/A,N/A,True,
287,La concierge,1900,N/A,N/A,1 min,"Short, Comedy",Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}]",N/A,5.3,184,tt0000288,movie,N/A,N/A,N/A,N/A,True,
288,Coucher d'une Parisienne,1900,N/A,N/A,N/A,Short,Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,[],N/A,N/A,N/A,tt0000289,movie,N/A,N/A,N/A,N/A,True,
289,Dance de l'ivresse,1900,N/A,N/A,N/A,Short,Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,[],N/A,N/A,N/A,tt0000290,movie,N/A,N/A,N/A,N/A,True,
290,Dans les coulisses,1900,N/A,11 Nov 1905,N/A,Short,Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,[],N/A,N/A,N/A,tt0000291,movie,N/A,N/A,N/A,N/A,True,
291,Danse du papillon,1900,N/A,N/A,N/A,"Documentary, Short",Alice Guy,N/A,N/A,A woman embodies the movement of a butterfly.,None,France,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}]",N/A,5.3,88,tt0000292,movie,N/A,N/A,N/A,N/A,True,
292,Danse du pas des foulards par des almées,1900,N/A,N/A,N/A,Short,Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,[],N/A,N/A,N/A,tt0000293,movie,N/A,N/A,N/A,N/A,True,
293,La danse du ventre,1900,N/A,N/A,N/A,Short,Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,[],N/A,N/A,N/A,tt0000294,movie,N/A,N/A,N/A,N/A,True,
294,Danse du voile,1900,N/A,N/A,N/A,Short,Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,[],N/A,N/A,N/A,tt0000295,movie,N/A,N/A,N/A,N/A,True,
295,Danse serpentine,1900,N/A,08 Aug 1900,2 min,"Documentary, Short",Alice Guy,N/A,Mme. Ondine,N/A,None,France,N/A,https://m.media-amazon.com/images/M/MV5BY2EzMjllN2QtYmVlYS00Zjg3LWJmMDAtMmM0ZmZhODA0NjgwXkEyXkFqcGdeQXVyNTQzNTQ2MTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}]",N/A,5.7,233,tt0000296,movie,N/A,N/A,N/A,N/A,True,
296,Danses,1900,N/A,N/A,N/A,Short,Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,[],N/A,N/A,N/A,tt0000297,movie,N/A,N/A,N/A,N/A,True,
297,Déclaration d'amour,1900,N/A,N/A,N/A,Short,Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,[],N/A,N/A,N/A,tt0000298,movie,N/A,N/A,N/A,N/A,True,
298,Le départ d'Arlequin et de Pierrette,1900,Not Rated,01 Sep 2009,2 min,Short,Alice Guy,N/A,N/A,"Preserved by Filmoteca de Catalunya, Barcelona, PIERRETTE'S ESCAPADES retains the original hand-tinting from the film's release in 1900. Director Alice Guy adapts a brief sequence from the ballet of Arlequin and Pierrette (essentiall",None,France,N/A,https://m.media-amazon.com/images/M/MV5BM2VhYWJiYWUtMzM1OS00OTViLTgxMTgtODRlNTJlMjhiNGZkXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}]",N/A,5.5,217,tt0000299,movie,N/A,N/A,N/A,N/A,True,
299,The Enchanted Drawing,1900,N/A,16 Nov 1900,2 min,"Animation, Short, Comedy",J. Stuart Blackton,N/A,J. Stuart Blackton,A cartoonist defies reality when he draws objects that become three-dimensional after he lifts them off his sketch pad.,"None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BZGEzZTQ4YjctZThlZi00ODIxLWJjNzctYjliMzc1YTE2ZjFiXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",N/A,6.9,"1,176",tt0000300,movie,N/A,N/A,N/A,N/A,True,
300,Faust and Marguerite,1900,Not Rated,28 Feb 1900,1 min,"Short, Fantasy, Horror",Edwin S. Porter,Johann Wolfgang von Goethe,N/A,"Marguerite is seated before the fireplace, Faust standing by her side. Mephistopheles enters and offers his sword to Faust, commanding him to behead the fair Marguerite. Faust refuses, whereupon Mephistopheles draws the sword across ",None,United States,N/A,https://m.media-amazon.com/images/M/MV5BMjYxZDUwYWUtMTcyNC00NzNjLWJjN2QtNGI4YmQ1ODA3MmVkXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.4/10'}]",N/A,4.4,374,tt0000301,movie,N/A,N/A,N/A,N/A,True,
301,"La fée aux choux, ou la naissance des enfants",1900,N/A,N/A,1 min,Short,Alice Guy,N/A,N/A,"#sinopsis A fairy appears on the screen in the middle of a garden, giving birth to a baby of a cabbage.",None,France,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}]",N/A,5.1,182,tt0000302,movie,N/A,N/A,N/A,N/A,True,
302,Gavotte directoire,1900,N/A,N/A,N/A,Short,Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,[],N/A,N/A,N/A,tt0000303,movie,N/A,N/A,N/A,N/A,True,
303,Grandma's Reading Glass,1900,N/A,01 Nov 1900,2 min,"Short, Family",George Albert Smith,N/A,Harold Smith,"A boy looks through glasses at various objects, seen magnified.",None,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BYjA3NGU2YzktZmI5Ni00NTVhLWJlY2EtYzA2MzNkY2JlNTUxXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}]",N/A,6.0,"1,128",tt0000304,movie,N/A,N/A,N/A,N/A,True,
304,L'Habanera,1900,N/A,N/A,N/A,Short,Alice Guy,N/A,Valentine Brouat,N/A,None,France,N/A,N/A,[],N/A,N/A,N/A,tt0000305,movie,N/A,N/A,N/A,N/A,True,
305,Le duel d'Hamlet,1900,N/A,31 Oct 1908,2 min,"Short, Drama",Clément Maurice,William Shakespeare,"Sarah Bernhardt, Pierre Magnier, Suzanne Seylor","The final duel in 'Hamlet', in the first film of the play.",None,France,N/A,https://m.media-amazon.com/images/M/MV5BZTRjMTM4YjItYmFlZC00YWQ0LTg3NjQtMDQxZGRmNThmYTYwXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}]",N/A,5.4,217,tt0000306,movie,N/A,N/A,N/A,N/A,True,
306,Happy Hooligan,1900,N/A,N/A,N/A,"Comedy, Short",J. Stuart Blackton,Frederick Opper,J. Stuart Blackton,N/A,None,United States,N/A,https://m.media-amazon.com/images/M/MV5BYWI1ZDg1NWUtMDRkMC00YWNhLTk0ZTAtOGM1MDk3MmU1NGVlXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.9/10'}]",N/A,4.9,86,tt0000307,movie,N/A,N/A,N/A,N/A,True,
307,The House That Jack Built,1900,N/A,01 Apr 1903,1 min,Short,George Albert Smith,N/A,"Dorothy Smith, Harold Smith","A cleverly conceived picture of a little boy and girl with building blocks. The little girl has erected a pretty structure, which the boy proceeds to demolish with pokes of his fingers. When the demolition of the house is completed, ","None, English",United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BMWQxNzFmYzctODNjNi00MDVhLWE0YWYtY2E3NTkwZWQ5MTgwXkEyXkFqcGdeQXVyNzUyMjQ3NTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}]",N/A,5.5,84,tt0000308,movie,N/A,N/A,N/A,N/A,True,
308,How It Feels to Be Run Over,1900,Not Rated,01 Jul 1900,1 min,"Short, Comedy",Cecil M. Hepworth,N/A,"May Clark, Cecil M. Hepworth","In one glorious point-of-view shot, a vehicle dashes full-speed into an ill-starred passer-by.","None, English",United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BYjQ0NDM2NzktY2RkOS00MjY1LWEyYjctZWFlZjRjZDg3MGZlXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",N/A,6.1,798,tt0000309,movie,N/A,N/A,N/A,N/A,True,
309,Chimmie Hicks and the Rum Omelet,1900,N/A,01 Nov 1900,N/A,"Comedy, Short",N/A,N/A,"Charley Grapewin, Anna Chance",N/A,"None, English",United States,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",N/A,7.3,34,tt0000310,movie,N/A,N/A,N/A,N/A,True,
310,Above the Limit,1900,N/A,N/A,N/A,"Short, Comedy",N/A,N/A,Charley Grapewin,"A man seems to be at the races, rooting for his favorite number.",None,United States,N/A,https://m.media-amazon.com/images/M/MV5BZDZkMjQ5NGEtYjNkOS00NDkxLWJlYTMtOTcyNjhhNmQ4ZmIxXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.3/10'}]",N/A,4.3,134,tt0000265,movie,N/A,N/A,N/A,N/A,True,
311,Le lapin,1900,N/A,N/A,N/A,Short,Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,[],N/A,N/A,N/A,tt0000312,movie,N/A,N/A,N/A,N/A,True,
312,Let Me Dream Again,1900,N/A,01 Aug 1900,1 min,"Short, Comedy",George Albert Smith,N/A,"Laura Bayley, Tom Green","A man dreams he is flirting with an attractive young lady, then he wakes up in bed next to his wife.",None,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BMWNhYjUzZDAtZjdhNi00ZjQyLWIzMDktM2U1NTczNWE2YmQ4XkEyXkFqcGdeQXVyNDg5MjMyMTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",N/A,5.8,732,tt0000313,movie,N/A,N/A,N/A,N/A,True,
313,Leçon de danse,1900,N/A,N/A,N/A,Short,Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,[],N/A,N/A,N/A,tt0000314,movie,N/A,N/A,N/A,N/A,True,
314,Le marchand de coco,1900,N/A,N/A,N/A,Short,Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,[],N/A,N/A,N/A,tt0000315,movie,N/A,N/A,N/A,N/A,True,
315,Marché à la volaille,1900,N/A,N/A,N/A,Short,Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,[],N/A,N/A,N/A,tt0000316,movie,N/A,N/A,N/A,N/A,True,
316,Le matelot,1900,N/A,N/A,N/A,Short,Alice Guy,N/A,N/A,N/A,N/A,France,N/A,N/A,[],N/A,N/A,N/A,tt0000317,movie,N/A,N/A,N/A,N/A,True,
317,Eine moderne Jungfrau von Orleans,1900,N/A,N/A,N/A,Short,Max Skladanowsky,Eugen Skladanowsky,Eugen Skladanowsky,N/A,None,Germany,N/A,https://m.media-amazon.com/images/M/MV5BMjk2MzVhYmMtZTk2NC00NTQyLTkwZTItOTgzOWUzOGYzYjU0XkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}]",N/A,5.4,5,tt0000318,movie,N/A,N/A,N/A,N/A,True,
318,Momijigari,1899,N/A,N/A,6 min,"Short, Horror",Tsunekichi Shibata,N/A,"Danjuro Ichikawa, Kikugoro Onoe V",Historical nobleman Taira no Koremori fights a demon who has disguised itself as Princess Sarashina.,None,Japan,N/A,https://m.media-amazon.com/images/M/MV5BOGE3NWMzYWMtOWZkYS00ZTg2LTgxNDQtNmY5YzlmOTkyNmI3XkEyXkFqcGdeQXVyNDg5MjMyMTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",N/A,5.8,179,tt0000319,movie,N/A,N/A,N/A,N/A,True,
319,Mort d'Adonis,1900,N/A,N/A,N/A,Short,Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,[],N/A,N/A,N/A,tt0000320,movie,N/A,N/A,N/A,N/A,True,
320,The Mystic Swing,1900,N/A,N/A,1 min,"Fantasy, Short",Edwin S. Porter,N/A,N/A,"The professor shows his power to Mephisto by mysteriously placing a young lady in a swing. Mephisto then shows his power by making the young lady disappear from the swing, to the surprise of the professor. The professor makes another",None,United States,N/A,https://m.media-amazon.com/images/M/MV5BNzM5MDM0MTktMDY5ZC00Y2U4LTlhYjItMzk3MTg5MTNhMDFhXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}]",N/A,4.8,210,tt0000321,movie,N/A,N/A,N/A,N/A,True,
321,Panorama de Barcelona: monumentos y fiestas,1900,N/A,N/A,6 min,"Short, Documentary",Fructuós Gelabert,N/A,N/A,"Short documentary about the city of Barcelona, its monuments and its festivities.",N/A,Spain,N/A,N/A,[],N/A,N/A,N/A,tt0000322,movie,N/A,N/A,N/A,N/A,True,
322,Pas Japonais,1900,N/A,N/A,N/A,Short,Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,[],N/A,N/A,N/A,tt0000323,movie,N/A,N/A,N/A,N/A,True,
323,Pas de grâce,1900,N/A,N/A,N/A,Short,Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,[],N/A,N/A,N/A,tt0000324,movie,N/A,N/A,N/A,N/A,True,
324,Pas des éventails,1900,N/A,N/A,N/A,Short,Alice Guy,N/A,Valentine Brouat,N/A,N/A,France,N/A,N/A,[],N/A,N/A,N/A,tt0000325,movie,N/A,N/A,N/A,N/A,True,
325,Pas du poignard,1900,N/A,N/A,N/A,Short,Alice Guy,N/A,Valentine Brouat,N/A,None,France,N/A,N/A,[],N/A,N/A,N/A,tt0000326,movie,N/A,N/A,N/A,N/A,True,
326,La paysanne,1900,N/A,N/A,N/A,Short,Alice Guy,N/A,N/A,N/A,N/A,France,N/A,N/A,[],N/A,N/A,N/A,tt0000327,movie,N/A,N/A,N/A,N/A,True,
327,La petite magicienne,1900,N/A,N/A,1 min,Short,Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",N/A,6.3,7,tt0000328,movie,N/A,N/A,N/A,N/A,True,
328,Le Polichinelle,1900,N/A,N/A,N/A,Short,Alice Guy,N/A,N/A,N/A,N/A,France,N/A,N/A,[],N/A,N/A,N/A,tt0000329,movie,N/A,N/A,N/A,N/A,True,
329,La poupée noire,1900,N/A,N/A,N/A,Short,Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,[],N/A,N/A,N/A,tt0000330,movie,N/A,N/A,N/A,N/A,True,
330,La reine des jouets,1900,N/A,N/A,N/A,Short,Alice Guy,N/A,N/A,N/A,N/A,France,N/A,N/A,[],N/A,N/A,N/A,tt0000331,movie,N/A,N/A,N/A,N/A,True,
331,Retour des champs,1900,N/A,N/A,2 min,"Documentary, Short",Alice Guy,N/A,N/A,N/A,"French, None",France,N/A,N/A,[],N/A,N/A,N/A,tt0000332,movie,N/A,N/A,N/A,N/A,True,
332,Le sang d'Adonis donnant naissance à la rose rouge,1900,N/A,N/A,N/A,Short,Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,[],N/A,N/A,N/A,tt0000333,movie,N/A,N/A,N/A,N/A,True,
333,Saut humidifié de M. Plick,1900,N/A,N/A,N/A,"Short, Comedy",Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,[],N/A,N/A,N/A,tt0000334,movie,N/A,N/A,N/A,N/A,True,
334,Soldiers of the Cross,1900,N/A,13 Sep 1900,40 min,"Short, Biography, Drama","Herbert Booth, Joseph Perry",N/A,"Beatrice Day, Harold Graham, Mr. Graham, John Jones",The plot outlined the story of the early Christian martyrs with a compendium of horrors guaranteed to jolt audiences into an awareness of terrible suffering for the sake of Christianity. ...,None,Australia,N/A,https://m.media-amazon.com/images/M/MV5BNTYxMGNhYzUtY2Q3Zi00MzFjLWJkZDctOGJhZWEyMGFhYmM0XkEyXkFqcGdeQXVyMjQ0ODE4OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}]",N/A,6.0,39,tt0000335,movie,N/A,N/A,N/A,N/A,True,
335,La source,1900,N/A,N/A,N/A,Short,Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,[],N/A,N/A,N/A,tt0000336,movie,N/A,N/A,N/A,N/A,True,
336,Spanish Bullfight,1900,Not Rated,N/A,1 min,"Short, Sport",N/A,N/A,N/A,"With a crowded arena in the background, a stationary camera records a bull charging a picador astride his horse. An attendant on foot throws stones at the rump of the horse to get it to move. Various men with capes run past the bull ",None,France,N/A,https://m.media-amazon.com/images/M/MV5BNDIxOTdhYzAtYWNkMy00ZjRiLWEzNjctZDUzZWUzZGIwYzgzXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}]",N/A,5.0,344,tt0000337,movie,N/A,N/A,N/A,N/A,True,
337,Suite de la danse,1900,N/A,N/A,N/A,Short,Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,[],N/A,N/A,N/A,tt0000338,movie,N/A,N/A,N/A,N/A,True,
338,La tarentelle,1900,N/A,N/A,N/A,Short,Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,[],N/A,N/A,N/A,tt0000339,movie,N/A,N/A,N/A,N/A,True,
339,Uncle Josh in a Spooky Hotel,1900,N/A,N/A,1 min,"Comedy, Fantasy, Short",Edwin S. Porter,N/A,Charles Manley,"Another adventure involving the recurring character from silent era Uncle Josh, one of the first characters to have film sequels of his own. This episode involves a haunted hotel where a ...",None,USA,N/A,https://m.media-amazon.com/images/M/MV5BYWRhM2FhMDItZjQ0Mi00ZDljLWIwYTktZDI2OTc5ODJkN2QxXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.9/10'}]",N/A,4.9,252,tt0000340,movie,N/A,N/A,N/A,N/A,True,
340,Uncle Josh's Nightmare,1900,N/A,01 Mar 1900,2 min,"Comedy, Short, Fantasy",Edwin S. Porter,N/A,Charles Manley,"Poor Uncle Josh is trying to get to sleep, but being constantly bedeviled by a fellow in red long underwear with horns. A short early trick editing film using a stationary camera.","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BMjAzNTI3MzI0Nl5BMl5BanBnXkFtZTcwMzQ1MTYzMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.9/10'}]",N/A,4.9,339,tt0000341,movie,N/A,N/A,N/A,N/A,True,
341,Une rage de dents,1900,N/A,N/A,N/A,"Short, Comedy",Alice Guy,N/A,N/A,N/A,N/A,France,N/A,N/A,[],N/A,N/A,N/A,tt0000342,movie,N/A,N/A,N/A,N/A,True,
342,Valse directoire,1900,N/A,N/A,N/A,Short,Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,[],N/A,N/A,N/A,tt0000343,movie,N/A,N/A,N/A,N/A,True,
343,Valse lente,1900,N/A,N/A,N/A,Short,Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,[],N/A,N/A,N/A,tt0000344,movie,N/A,N/A,N/A,N/A,True,
344,L'écossaise,1900,N/A,N/A,N/A,Short,Alice Guy,N/A,N/A,N/A,None,France,N/A,N/A,[],N/A,N/A,N/A,tt0000345,movie,N/A,N/A,N/A,N/A,True,
345,Another Job for the Undertaker,1901,Not Rated,15 May 1901,2 min,"Short, Comedy",Edwin S. Porter,N/A,N/A,"Shows a bedroom in a hotel. On the wall of the room is a conspicuous sign ""Don't blow out the gas."" A hayseed enters the room, accompanied by a bellboy. The boy deposits the Rube's bag and umbrella, turns a somersault, and vanishes t","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BOTU2YTY0OWYtOGYyMi00MjcyLThiNGMtNWYyMTk3NGQ2OGI5XkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}]",N/A,4.8,209,tt0000346,movie,N/A,N/A,N/A,N/A,True,
346,Buffalo Bill's Wild West Parade,1901,N/A,01 Apr 1901,2 min,"Documentary, Short, News",N/A,N/A,Buffalo Bill Cody,Buffalo Bill's Wild West Show parades down New York's Fifth Avenue. Filmed on 1 April 1901.,None,United States,N/A,https://m.media-amazon.com/images/M/MV5BYmQ2OTEyYjQtY2Y4ZS00ODk0LWE0NzAtMTlhNTQ0M2RiODJhXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.6/10'}]",N/A,4.6,109,tt0000347,movie,N/A,N/A,N/A,N/A,True,
347,Charmant froufrou,1901,N/A,N/A,N/A,Short,Alice Guy,N/A,N/A,N/A,N/A,France,N/A,N/A,[],N/A,N/A,N/A,tt0000348,movie,N/A,N/A,N/A,N/A,True,
348,"What Came Out of the Cheese; or, The Lilliputians in a New York Restaurant",1901,N/A,01 Aug 1901,1 min,"Short, Comedy",Walter R. Booth,N/A,N/A,"jovial looking man is seated nearest the window of a restaurant. He has just finished his meal and the waiter brings a glass of beer, and when he places the glass upon the table, lo, a ...",None,UK,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}]",N/A,5.4,102,tt0000349,movie,N/A,N/A,N/A,N/A,True,
